id;libelle;prix_vente;is_disabled;comments
1;Open-architected methodology;20985;false;paradigms
2;User-centric Pants Secured;40638;true;South Dakota South Carolina redundant
3;e-services deposit auxiliary;65068;true;Interactions
4;Clothing;26632;true;Sri Lanka cross-platform
5;SCSI hacking deploy;49797;false;Cedi Ergonomic Rubber Car
6;Robust SMTP bypassing;64227;false;Kentucky
7;Metrics;86408;true;indexing dedicated synergize
8;Personal Loan Account;78226;true;Coordinator frame Vermont
9;feed Sausages Garden;72120;false;access
10;Plastic grey redundant;49217;false;clicks-and-mortar calculate
