id;libelle;prix_vente;is_disabled;quantite;comments
1;Open-architected methodology;20985;false;19809;Licensed Concrete Sausages Pants
2;redundant;66277;true;57321;South Carolina redundant ADP
3;deposit;80649;false;65068;toolset Corporate Clothing
4;quantifying;53910;true;34629;Accountability IB Shirt
5;Berkshire visualize;28021;false;7566;Handmade Concrete Cheese SMTP
6;Metal mint green Kentucky;39;true;98351;invoice indexing dedicated
7;embrace Personal Loan Account;78226;true;92896;monetize efficient Chief
8;Swiss Franc Solutions synergistic;33948;false;29665;hacking
9;grey;77935;false;49217;withdrawal
10;calculate;21994;false;86511;payment
